Month,Municipality,Nb.Floor,Nb.Room,Garage,Garden,Furnished,Promise,New.Project,Announcer.Type,price_m2,Region
Jul,ROUIBA,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,284210.5263157895,EAST
Jul,CHERAGA,4,5,TRUE,FALSE,FALSE,FALSE,FALSE,AGENCE,391566.265060241,WEST
Jul,SAOULA,2,5,FALSE,FALSE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,146666.66666666666,SOUTH
Jul,BARAKI,1,3,FALSE,FALSE,TRUE,TRUE,FALSE,PARTICULIER,1e5,SOUTH
Jul,BORDJ EL BAHRI,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,83333.33333333333,EAST
Jul,BORDJ EL BAHRI,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,83333.33333333333,EAST
Jul,BOUZAREAH,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,157894.73684210525,NORTH
Jul,CHERAGA,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,2e5,WEST
Jul,BOUZAREAH,5,3,FALSE,FALSE,TRUE,FALSE,FALSE,PARTICULIER,214285.7142857143,NORTH
Jul,DOUERA,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,94736.84210526316,SOUTH
Jul,DRARIA,1,3,TRUE,TRUE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,275e3,WEST
Jul,EL ACHOUR,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,219047.61904761905,WEST
Jul,EL ACHOUR,2,3,FALSE,FALSE,TRUE,TRUE,FALSE,PARTICULIER,152702.7027027027,WEST
Jul,EL BIAR,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,282352.9411764706,NORTH
Jul,ZERALDA,4,3,FALSE,FALSE,FALSE,FALSE,TRUE,PARTICULIER,171428.57142857142,WEST
Jul,DJISR KSENTINA,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,90909.09090909091,SOUTH
Jul,BACH DJERRAH,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,186813.18681318683,NORTH
Jul,BACH DJERRAH,5,4,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,105263.15789473684,NORTH
Jul,BIR MOURAD RAIS,1,4,FALSE,TRUE,FALSE,FALSE,TRUE,PARTICULIER,198412.6984126984,NORTH
Jul,BIR KHADEM,3,4,TRUE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,188405.79710144928,NORTH
Jul,BIR KHADEM,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,278688.52459016396,NORTH
Jul,ALGER,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,218181.81818181818,NORTH
Jul,DOUERA,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,156097.56097560975,SOUTH
Jul,DOUERA,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,154929.57746478874,SOUTH
Jul,DOUERA,5,4,TRUE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,147368.42105263157,SOUTH
Jul,EL ACHOUR,8,4,FALSE,FALSE,TRUE,FALSE,FALSE,PARTICULIER,117647.05882352941,WEST
Jul,RAIS HAMIDOU,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,214285.7142857143,NORTH
